iter	Logloss
0	0.6871726583
1	0.681575292
2	0.6760599162
3	0.6706640727
4	0.6652096914
5	0.6599656423
6	0.6550309296
7	0.6500102895
8	0.6451415151
9	0.6402437286
10	0.6356099548
11	0.631159668
12	0.6267455393
13	0.6222598572
14	0.6178588765
15	0.6135646464
16	0.6096745656
17	0.605787262
18	0.6021737213
19	0.5983180186
20	0.5946480001
21	0.5908290507
22	0.5870896759
23	0.5835207977
24	0.5801472982
25	0.5768167775
26	0.573603775
27	0.5703821411
28	0.5671936798
29	0.5641691844
30	0.5611097463
31	0.5582640025
32	0.5553666331
33	0.5524985504
34	0.5498336945
35	0.5473507589
36	0.5447082723
37	0.5420565745
38	0.5394926758
39	0.5371621094
40	0.5347509308
41	0.5323868357
42	0.530075175
43	0.5278100433
44	0.5255467987
45	0.5235502777
46	0.521492157
47	0.5193935191
48	0.5173948313
49	0.5153772786
50	0.5134968363
51	0.5116387533
52	0.5098214722
53	0.5080905202
54	0.5063316396
55	0.5045925852
56	0.5028904317
57	0.5012318776
58	0.4996339315
59	0.4980674998
60	0.4964449565
61	0.4949161021
62	0.4933960826
63	0.4918885447
64	0.4904490306
65	0.4890817769
66	0.487668752
67	0.4862748464
68	0.484955129
69	0.4837206777
70	0.4824066315
71	0.4811899719
72	0.4800337321
73	0.4788091329
74	0.4776993205
75	0.4766049245
76	0.4755209096
77	0.4744768626
78	0.4734528961
79	0.4724392955
80	0.471397639
81	0.4704167633
82	0.4694237467
83	0.4684368032
84	0.467485733
85	0.4665423584
86	0.4656518809
87	0.4647589874
88	0.4639343719
89	0.463096873
90	0.4622666168
91	0.4614428864
92	0.4607669067
93	0.4600068309
94	0.4591875102
95	0.45845637
96	0.4577896729
97	0.4570541229
98	0.4562966461
99	0.4556590474
