iter	Passed	Remaining
0	20	2019
1	34	1680
2	51	1674
3	68	1649
4	86	1637
5	104	1635
6	124	1651
7	143	1646
8	163	1651
9	181	1629
10	198	1603
11	218	1600
12	235	1576
13	253	1555
14	271	1540
15	291	1528
16	308	1503
17	327	1493
18	335	1430
19	354	1417
20	373	1403
21	392	1393
22	413	1382
23	435	1377
24	454	1363
25	474	1349
26	491	1328
27	508	1308
28	529	1295
29	549	1281
30	569	1268
31	590	1254
32	612	1244
33	631	1225
34	650	1208
35	668	1188
36	687	1170
37	706	1152
38	725	1135
39	744	1117
40	762	1096
41	782	1080
42	800	1061
43	821	1045
44	840	1027
45	856	1005
46	875	987
47	895	970
48	917	955
49	937	937
50	957	920
51	976	901
52	996	884
53	1014	863
54	1033	845
55	1052	827
56	1073	809
57	1093	792
58	1114	774
59	1134	756
60	1152	737
61	1171	718
62	1190	698
63	1210	680
64	1229	662
65	1249	643
66	1268	624
67	1289	606
68	1307	587
69	1326	568
70	1344	549
71	1364	530
72	1383	511
73	1404	493
74	1422	474
75	1441	455
76	1464	437
77	1484	418
78	1505	400
79	1526	381
80	1546	362
81	1565	343
82	1586	324
83	1613	307
84	1634	288
85	1654	269
86	1674	250
87	1692	230
88	1737	214
89	1760	195
90	1779	175
91	1797	156
92	1816	136
93	1834	117
94	1853	97
95	1871	77
96	1890	58
97	1911	39
98	1931	19
99	1950	0
